id,operator,group,ref_class,map_class,ref_code,map_code
295,karel88,3,NF,NF,2,2
203,Precieux,3,NF,NF,2,2
560,carine,6,NF,NF,2,2
826,jeannette_kenovh,9,NF,Fs,2,12
389,Cherubins,4,NF,NF,2,2
849,jeannette_kenovh,9,NF,NF,2,2
652,gisele,7,NF,Fs,2,12
392,Cherubins,4,NF,NF,2,2
772,leslie,8,NF,NF,2,2
815,jeannette_kenovh,9,NF,NF,2,2
639,gisele,7,NF,NF,2,2
194,josney,2,NF,NF,2,2
95,karel88,1,NF,NF,2,2
448,lillteddy,5,NF,NF,2,2
358,Cherubins,4,NF,NF,2,2
532,carine,6,NF,NF,2,2
825,jeannette_kenovh,9,NF,NF,2,2
13,karel88,1,NF,NF,2,2
321,Cherubins,4,NF,NF,2,2
786,leslie,8,NF,Eau,2,4
856,jeannette_kenovh,9,NF,Fs,2,12
133,josney,2,NF,NF,2,2
883,jeannette_kenovh,9,NF,NF,2,2
85,karel88,1,NF,Fs,2,12
330,Cherubins,4,NF,NF,2,2
150,josney,2,NF,NF,2,2
24,karel88,1,NF,NF,2,2
25,karel88,1,NF,NF,2,2
545,carine,6,NF,Eau,2,4
715,leslie,8,NF,Fm,2,13
544,carine,6,NF,Fs,2,12
291,karel88,3,NF,NF,2,2
500,lillteddy,5,NF,Fs,2,12
802,leslie,8,NF,NF,2,2
543,carine,6,NF,NF,2,2
296,karel88,3,NF,NF,2,2
402,Cherubins,4,NF,Fp,2,11
346,Cherubins,4,NF,NF,2,2
767,lillteddy,8,NF,NF,2,2
300,karel88,3,NF,NF,2,2
285,karel88,3,NF,NF,2,2
391,Cherubins,4,NF,NF,2,2
352,Cherubins,4,NF,Fs,2,12
264,karel88,3,NF,NF,2,2
732,leslie,8,NF,NF,2,2
49,karel88,1,NF,NF,2,2
181,josney,2,NF,NF,2,2
829,jeannette_kenovh,9,NF,NF,2,2
313,Cherubins,4,NF,NF,2,2
860,jeannette_kenovh,9,NF,NF,2,2
698,Cherubins,7,NF,NF,2,2
662,gisele,7,NF,NF,2,2
784,leslie,8,NF,NF,2,2
743,leslie,8,NF,NF,2,2
734,leslie,8,NF,Fs,2,12
903,jeannette_kenovh,9,NF,Fs,2,12
812,jeannette_kenovh,9,NF,NF,2,2
182,josney,2,NF,Fp,2,11
586,lillteddy,6,NF,NF,2,2
190,josney,2,NF,NF,2,2
768,leslie,8,NF,Eau,2,4
374,Cherubins,4,NF,NF,2,2
875,jeannette_kenovh,9,NF,NF,2,2
716,leslie,8,NF,Fs,2,12
878,jeannette_kenovh,9,NF,NF,2,2
676,Cherubins,7,NF,NF,2,2
97,karel88,1,NF,Fs,2,12
431,lillteddy,5,NF,NF,2,2
417,lillteddy,5,NF,NF,2,2
598,lillteddy,6,NF,NF,2,2
688,Cherubins,7,NF,Fs,2,12
608,gisele,7,NF,Fs,2,12
205,Precieux,3,NF,Fm,2,13
682,Cherubins,7,NF,NF,2,2
644,gisele,7,NF,NF,2,2
59,karel88,1,NF,Fm,2,13
701,Cherubins,7,NF,NF,2,2
390,Cherubins,4,NF,NF,2,2
522,carine,6,NF,NF,2,2
92,karel88,1,NF,Fs,2,12
653,gisele,7,NF,NF,2,2
210,Precieux,3,NF,Fp,2,11
178,josney,2,NF,Fs,2,12
790,leslie,8,NF,NF,2,2
658,gisele,7,NF,NF,2,2
31,karel88,1,NF,Fs,2,12
690,Cherubins,7,NF,NF,2,2
58,karel88,1,NF,NF,2,2
834,jeannette_kenovh,9,NF,Fp,2,11
904,jeannette_kenovh,9,NF,NF,2,2
52,karel88,1,NF,Fp,2,11
362,Cherubins,4,NF,Fm,2,13
761,leslie,8,NF,NF,2,2
51,karel88,1,NF,Fs,2,12
501,lillteddy,5,NF,NF,2,2
148,josney,2,NF,NF,2,2
752,leslie,8,NF,NF,2,2
588,lillteddy,6,NF,NF,2,2
724,leslie,8,NF,NF,2,2
526,carine,6,NF,Eau,2,4
403,Cherubins,4,NF,NF,2,2
893,jeannette_kenovh,9,NF,NF,2,2
212,Precieux,3,NF,Eau,2,4
814,jeannette_kenovh,9,NF,NF,2,2
822,jeannette_kenovh,9,NF,Fs,2,12
699,Cherubins,7,NF,Fs,2,12
116,josney,2,NF,Fp,2,11
884,jeannette_kenovh,9,NF,NF,2,2
